,FoldNumber,FileName,UnicodeID,Author
0,0,u2190-1730735471726.png,u2190,Aiden
1,1,u2190-1731063485150.png,u2190,Aiden
2,2,u2191-1730735474296.png,u2191,Aiden
3,3,u2191-1731063486973.png,u2191,Aiden
4,4,u2192-1731063488679.png,u2192,Aiden
5,5,u2193-1731063490946.png,u2193,Aiden
6,6,u2206-1731063492552.png,u2206,Aiden
7,7,u220a-1731063348560.png,u220a,Aiden
8,8,u2218-1731063350247.png,u2218,Aiden
9,9,u221a-1730735461186.png,u221a,Aiden
10,0,u221a-1731063477444.png,u221a,Aiden
11,1,u2227-1731063351451.png,u2227,Aiden
12,2,u2228-1731063352690.png,u2228,Aiden
13,3,u2229-1731063354029.png,u2229,Aiden
14,4,u222a-1731063355413.png,u222a,Aiden
15,5,u2260-1731063358009.png,u2260,Aiden
16,6,u2261-1731063359567.png,u2261,Aiden
17,7,u2262-1731063361745.png,u2262,Aiden
18,8,u2264-1731063363402.png,u2264,Aiden
19,9,u2265-1731063366199.png,u2265,Aiden
20,0,u2282-1731063368709.png,u2282,Aiden
21,1,u2283-1730735363751.png,u2283,Aiden
22,2,u2283-1731063370131.png,u2283,Aiden
23,3,u2286-1730735278169.png,u2286,Aiden
24,4,u2286-1731063372926.png,u2286,Aiden
25,5,u2287-1730735451280.png,u2287,Aiden
26,6,u2287-1731063468585.png,u2287,Aiden
27,7,u2296-1730735274753.png,u2296,Aiden
28,8,u2296-1730735283440.png,u2296,Aiden
29,9,u2296-1731063375308.png,u2296,Aiden
30,0,u22a2-1730735285874.png,u22a2,Aiden
31,1,u22a2-1731063376949.png,u22a2,Aiden
32,2,u22a3-1730735239499.png,u22a3,Aiden
33,3,u22a3-1730735288404.png,u22a3,Aiden
34,4,u22a3-1731063378715.png,u22a3,Aiden
35,5,u22a4-1730735290667.png,u22a4,Aiden
36,6,u22a4-1731063380331.png,u22a4,Aiden
37,7,u22a5-1730735292775.png,u22a5,Aiden
38,8,u22a5-1731063382525.png,u22a5,Aiden
39,9,u2308-1730735295051.png,u2308,Aiden
40,0,u2308-1731063383941.png,u2308,Aiden
41,1,u230a-1730735297329.png,u230a,Aiden
42,2,u230a-1731063385336.png,u230a,Aiden
43,3,u2336-1730735300174.png,u2336,Aiden
44,4,u2336-1731063387586.png,u2336,Aiden
45,5,u2337-1731063389906.png,u2337,Aiden
46,6,u2338-1731063392778.png,u2338,Aiden
47,7,u2339-1731063396790.png,u2339,Aiden
48,8,u233a-1731063400986.png,u233a,Aiden
49,9,u233d-1731063403238.png,u233d,Aiden
50,0,u233f-1731063405204.png,u233f,Aiden
